number,name,CAS,q+,q-,HOMO,LUMO,P,D
1,"N,N-二甲基三氟甲磺酰胺(DMTMSA)",28048-17-1,0.405,-0.371,-0.29025,-0.01321,72.7222725,4.3912
2,乙二醇二甲醚（DME）,110-71-4,0.146,-0.24,-0.26448,0.00811,60.16417425,0
3,碳酸二甲酯（DMC）,616-38-6,0.158,-0.312,-0.30347,0.00233,47.51205525,0.2287
4,碳酸乙烯酯(EC),96-49-1,0.326,-0.329,-0.3109,-0.1065,43.0526205,5.6532
5,碳酸甲乙酯(EMC),623-53-0,0.161,-0.492,-0.30043,0.00225,59.99213025,0.4596
6,"1,3-二氧戊环（DOL）",646-06-0,0.156,-0.229,-0.26543,0.00464,42.49081125,1.2977
7,碳酸二乙酯(DEC),105-58-8,0.161,-0.496,-0.2975,0.00224,72.49824,0.5488
8,1，1，2，2-四氟乙基-2，2，2-三氟乙基醚（HFE）,406-78-0,0.355,-0.261,-0.36418,-0.0067,56.60029575,1.1768
9,甲基三氟乙基碳酸酯(FEMC),156783-95-8,0.335,-0.288,-0.32267,-0.00607,60.81000075,2.5535
10,四氢呋喃(THF),109-99-9,0.152,-0.282,-0.25125,0.004,50.06634975,1.9845
14,三氟乙酸乙酯(ETFA),383-63-1,0.332,-0.5,-0.32322,-0.0523,56.95738425,3.4774
16,氟代碳酸乙烯酯（FEC）,114435-02-8,0.33,-0.31,-0.32791,-0.01464,43.47072225,5.0322
17,2-甲基四氢呋喃(MeTHF),96-47-9,0.152,-0.482,-0.25023,0.00338,62.753481,1.8328
18,氟乙腈(FAN),503-20-8,0.293,-0.281,-0.35764,-0.04146,27.52912575,3.33
19,六氟苯（HFB）,392-56-3,0.19,-0.19,-0.29476,-0.06597,68.3791875,0
20,丙烯酸甲酯（MA）,96-33-3,0.165,-0.344,-0.29037,-0.06381,56.168856,1.5581
21,二氟乙酸甲酯（MDFA）,433-53-4,0.185,-0.26,-0.31291,-0.04568,44.21123775,3.4889
22,氟磺酰基二氟乙酸甲酯（MDFSA）,680-15-9,0.296,-0.277,-0.34311,-0.07827,70.0236225,5.0421
25,甲缩醛（DMM),109-87-5,0.153,-0.253,-0.26385,0.00157,48.1848885,2.701
27,三(2，2，2-三氟乙基)磷酸酯(TFEP),358-63-4,0.381,-0.386,-0.33358,-0.02435,108.966195,3.6771
31,"1,1,1-三氟-2-(2-甲氧基乙氧基)乙烷（TFEE）",123525-89-3,0.271,-0.241,-0.27683,-0.00021,72.9459675,2.6593
32,乙二醇甲醚二氟乙醚（DMEE）,1270009-33-0,0.161,-0.245,-0.27472,0.00324,72.621225,2.5588
33,二甲基二乙氧基硅烷（DMS）,78-62-6,1.435,-0.895,-0.27213,-0.00861,104.0923575,1.7057
35,三聚甲醛（TO）,110-88-3,0.167,-0.197,-0.29339,0.00365,46.63116675,2.1889
36,六氟异丙基甲醚（HFME）,13171-18-1,0.427,-0.535,-0.31517,-0.00684,56.4465915,3.2919
38,乙二醇二丁醚（EGBE）,112-48-1,0.144,-0.593,-0.26043,0.00702,134.603505,0
42,双氟碳酸乙烯酯(DFEC),311810-76-1,0.336,-0.289,-0.34498,-0.02508,43.9245045,3.6435
44,(2-氟乙氧基)三甲基硅烷（MFS）,126504-70-9,1.275,-0.819,-0.28196,-0.0131,89.2920375,2.1803
45,丙二醇甲醚醋酸酯(PMA）,108-65-6,0.186,-0.49,-0.27969,-0.0075,85.6041075,4.11
46,"Ethane, methoxy-",C3H8O,0.161,-0.554,-0.261059677,0.012491087,42.5952696,1.334
47,Dimethyl sulfide,C2H6S,0.178,-0.565,-0.223138075,0.004108572,44.13185751,1.746
48,"Ethene, ethoxy-",C4H8O,0.165,-0.618,-0.228448349,0.009940686,56.08984511,1.897
49,Vinyl ether,C4H6O,0.147,-0.363,-0.22836015,-0.004678186,56.11413899,1.385
50,"2-Propenoic acid, methyl ester",C4H6O2,0.195,-0.503,-0.287938115,-0.061830697,55.88739611,1.608
52,Succinonitrile,C4H4N2,0.209,-0.495,-0.351330658,-0.027481127,52.55373591,0
55,Butanenitrile,C4H7N,0.184,-0.529,-0.329501574,-0.005828439,50.87745819,4.318
56,"Ethane, 1,2-dimethoxy-",C4H10O2,0.145,-0.355,-0.262151132,0.01285858,59.02265629,0
57,3-Ethylthio-1-propene,C5H10S,0.175,-0.628,-0.223689314,0.000621063,80.8783755,1.926
59,Divinyl sulfide,C4H6S,0.165,-0.301,-0.21998866,-0.024118566,74.11185509,0.952
60,Ethyl propyl sulfide,C5H12S,0.167,-0.631,-0.219058902,0.002859096,82.0053416,1.68
63,(Z)-2-Butenenitrile,C4H5N,0.209,-0.584,-0.283050458,-0.059078175,52.6434883,4.41
64,Methacrylamide,C4H7NO,0.415,-0.646,-0.264569235,-0.046348217,59.9721421,3.582
65,"Furan, 2,3-dihydro-5-methyl-",C5H8O,0.192,-0.677,-0.210419142,0.008110571,60.84469729,0.918
66,"Propanenitrile, 2-methyl-",C4H7N,0.213,-0.513,-0.328781287,-0.010521325,50.94764051,4.218
69,"Propane, 2-(ethylthio)-",C5H12S,0.167,-0.63,-0.219389646,-0.002249057,81.789396,1.751
